ID;REGON;lat;lon;ROA_BEST;BvD_sectors;National industry classification;NACE_rev2_4dig
1;141087279;50,0781809;19,96903991;-8,7;Retail;NACE Rev. 2;4725
2;146095190;51,3810992;21,16304054;-10,38;Travel, Personal & Leisure;NACE Rev. 2;7711
3;142376726;51,3979879;21,1699573;-9,51;Retail;NACE Rev. 2;4711
4;20684224;51,5533857;20,01719865;-37,09;Property Services;US SIC;9499
5;145493711;51,62160015;21,93815069;-1,87;Agriculture, Horticulture & Livestock;NACE Rev. 2;113
6;250928725;51,74381935;18,0655889;33,61;Business Services;NACE Rev. 2;6920
7;140098252;51,90499445;21,60660107;-0,92;Travel, Personal & Leisure;NACE Rev. 2;5510
8;10117154;52,00928895;20,91721881;13,84;Leather, Stone, Clay & Glass products;NACE Rev. 2;2363
9;142226984;52,04966;20,75484;7,02;Business Services;NACE Rev. 2;6920
10;10164538;52,0517465;20,866235;6,59;Wholesale;US SIC;4690
11;141973041;52,0517633;20,86451154;9,28;Transport, Freight & Storage;NACE Rev. 2;5229
12;140644772;52,0856812;21,0343619;-0,57;Construction;NACE Rev. 2;4120
13;141246690;52,0856812;21,0343619;2,03;Computer Hardware;NACE Rev. 2;2620
14;146510624;52,0856812;21,0343619;6,31;Food & Tobacco Manufacturing;NACE Rev. 2;1107
15;12178941;52,0866959;21,02404088;-9,32;Public Administration, Education, Health Social Services;NACE Rev. 2;8621
16;15672587;52,09060365;21,01725087;-10,53;Property Services;NACE Rev. 2;6820
17;141720096;52,09725325;20,99183157;0,59;Wholesale;NACE Rev. 2;4690
18;141422565;52,1043379;21,01720095;-0,33;Business Services;NACE Rev. 2;7022
19;15213655;52,1043379;21,01720095;2,58;Business Services;NACE Rev. 2;7022
20;120539631;52,1043379;21,01720095;36,13;Banking, Insurance & Financial Services;NACE Rev. 2;6630
21;11233313;52,10452145;20,98861792;25,74;Food & Tobacco Manufacturing;NACE Rev. 2;1071
22;146095421;52,1057951;21,09908084;50;Food & Tobacco Manufacturing;NACE Rev. 2;1011
23;15740998;52,10631085;21,0251034;12,2;Business Services;NACE Rev. 2;7311
24;146511718;52,10631185;21,0259699;0;Construction;NACE Rev. 2;4321
25;146968062;52,10631185;21,0259699;1,27;Business Services;NACE Rev. 2;7022
26;146977747;52,10631185;21,0259699;11,53;Business Services;NACE Rev. 2;7022
27;611332545;52,10631185;21,0259699;36,47;Wholesale;NACE Rev. 2;4652
28;146072986;52,10631275;21,0262161;-10,35;Leather, Stone, Clay & Glass products;NACE Rev. 2;2319
29;146143309;52,10631275;21,0262161;-5;Utilities;NACE Rev. 2;3511
30;147193090;52,10631275;21,0262161;-0,85;Utilities;NACE Rev. 2;3511
31;142361506;52,10631275;21,0262161;-0,33;Utilities;NACE Rev. 2;3511
32;142877380;52,10631275;21,0262161;2,9;Business Services;NACE Rev. 2;8219
33;363624481;52,10637015;21,02116829;-3,34;Retail;NACE Rev. 2;4759
34;147000262;52,10637015;21,02116829;3,12;Wholesale;NACE Rev. 2;4613
35;145897680;52,1063751;21,0343979;-6,62;Media & Broadcasting;NACE Rev. 2;5911
36;145897756;52,1063751;21,0343979;1,17;Media & Broadcasting;NACE Rev. 2;5911
37;8023319;52,10650465;21,02586745;0,6;Chemicals, Petroleum, Rubber & Plastic;NACE Rev. 2;2223
38;492734436;52,10650465;21,02586745;11,05;Public Administration, Education, Health Social Services;NACE Rev. 2;8559
39;146464611;52,106505;21,0254043;-50;Wholesale;NACE Rev. 2;4511
40;15855320;52,1065471;21,0315953;-17,48;Construction;NACE Rev. 2;4120
41;145915939;52,1065471;21,0315953;-16,36;Construction;NACE Rev. 2;4120
42;146180204;52,1067001;21,0210557;14,16;Computer Software;NACE Rev. 2;6202
43;14928607;52,1071252;21,0176124;2,21;Wholesale;NACE Rev. 2;4511
44;15798348;52,1075134;21,02660872;-21,05;Business Services;NACE Rev. 2;7022
45;15875184;52,10770855;20,99262185;18,68;Wholesale;NACE Rev. 2;4674
46;10816260;52,1078933;21,01931902;10,42;Wholesale;NACE Rev. 2;4674
47;15570651;52,10793525;21,0245828;22,07;Wholesale;NACE Rev. 2;4669
48;141167110;52,1080696;21,02119075;1,16;Wholesale;NACE Rev. 2;4690
49;11224892;52,1080696;21,02119075;7,41;Wholesale;NACE Rev. 2;4690
50;147373939;52,10821995;21,03111795;-20,73;Public Administration, Education, Health Social Services;NACE Rev. 2;8510
51;142512112;52,10827;21,0315711;4,2;Business Services;NACE Rev. 2;7820
52;11560874;52,1085737;21,0275633;-78,82;Wholesale;NACE Rev. 2;4642
53;15833412;52,1085737;21,0275633;12,09;Food & Tobacco Manufacturing;NACE Rev. 2;1086
54;140426093;52,1086845;21,01693447;48,54;Business Services;NACE Rev. 2;8130
55;146733206;52,10884845;21,03274421;65,92;Public Administration, Education, Health Social Services;NACE Rev. 2;8520
56;363551598;52,10942045;20,9974129;-19,7;Retail;NACE Rev. 2;4752
57;10425921;52,10942045;20,9974129;-4,35;Wholesale;NACE Rev. 2;4675
58;11903802;52,10942045;20,9974129;0,29;Construction;NACE Rev. 2;4120
59;15822495;52,10942045;20,9974129;2,71;Travel, Personal & Leisure;NACE Rev. 2;5621
60;6214357;52,10942045;20,9974129;24,67;Construction;NACE Rev. 2;4120
61;141157040;52,10957505;21,0176211;-53,17;Property Services;NACE Rev. 2;6831
62;362103120;52,10957505;21,0176211;-22,94;Construction;NACE Rev. 2;4120
63;141111598;52,10957505;21,0176211;-13,68;Public Administration, Education, Health Social Services;NACE Rev. 2;8559
64;10568997;52,10957505;21,0176211;-4,06;Wholesale;NACE Rev. 2;4673
65;10987760;52,10957505;21,0176211;2,43;Chemicals, Petroleum, Rubber & Plastic;NACE Rev. 2;2223
66;145484899;52,10957505;21,0176211;3,35;Communications;NACE Rev. 2;6190
67;142140248;52,10957505;21,0176211;5,75;Communications;NACE Rev. 2;6190
68;362467737;52,10957505;21,0176211;25;Public Administration, Education, Health Social Services;NACE Rev. 2;8531
69;12248720;52,10958095;21,0340203;-10,15;Business Services;NACE Rev. 2;7490
70;142933405;52,1099648;21,00809747;32,78;Construction;NACE Rev. 2;4211
71;145983929;52,1101369;20,99202655;-0,33;Business Services;NACE Rev. 2;4520
72;10066340;52,1101369;20,99202655;2,77;Wholesale;NACE Rev. 2;4618
73;12977688;52,1101369;20,99202655;3,48;Wholesale;NACE Rev. 2;4690
74;11254203;52,1101369;20,99202655;3,85;Retail;NACE Rev. 2;4743
75;141063132;52,1103173;20,993232;-3,76;Wholesale;NACE Rev. 2;4673
76;12782571;52,1103173;20,993232;0,04;Property Services;NACE Rev. 2;6820
77;12847253;52,1104023;21,0101344;9,03;Transport, Freight & Storage;NACE Rev. 2;5210
78;140535095;52,1104023;21,0101344;28,91;Wholesale;NACE Rev. 2;4669
79;15846900;52,11054755;21,01472288;1,34;Wholesale;NACE Rev. 2;4690
80;15461494;52,11054755;21,01472288;8,79;Wholesale;NACE Rev. 2;4690
81;180915406;52,11054755;21,01472288;10,21;Wholesale;NACE Rev. 2;4649
82;15593497;52,11058565;21,00995145;2,28;Construction;NACE Rev. 2;4120
83;10020420;52,11058565;21,00995145;3,26;Wholesale;NACE Rev. 2;4663
84;142034606;52,11058565;21,00995145;4,65;Retail;NACE Rev. 2;4532
85;12356911;52,11058565;21,00995145;10,86;Wholesale;NACE Rev. 2;4669
86;15900396;52,11058565;21,00995145;29,58;Business Services;NACE Rev. 2;6209
87;15805344;52,1105874;21,0114039;3,76;Wholesale;NACE Rev. 2;4652
88;360710866;52,1105874;21,0114039;83,09;Industrial, Electric & Electronic Machinery;NACE Rev. 2;2732
89;140732542;52,11060475;21,00850035;11,79;Construction;NACE Rev. 2;4120
90;142190068;52,11155725;20,99620425;0,37;Biotechnology and Life Sciences;NACE Rev. 2;7219
91;146340062;52,111568;20,99573455;33,28;Business Services;NACE Rev. 2;3312
92;140196990;52,11220715;21,0355815;-4,55;Property Services;NACE Rev. 2;6820
93;140909348;52,11268475;21,11963707;1,17;Chemicals, Petroleum, Rubber & Plastic;NACE Rev. 2;2120
94;17266800;52,11308595;21,01545918;-5,81;Printing & Publishing;NACE Rev. 2;5811
95;932898643;52,11314375;21,01922535;0,19;Wholesale;NACE Rev. 2;4673
96;146887599;52,11314375;21,01922535;0,37;Business Services;NACE Rev. 2;7112
97;146500560;52,11314375;21,01922535;0,38;Property Services;NACE Rev. 2;6820
98;146991463;52,11314375;21,01922535;0,85;Property Services;NACE Rev. 2;6810
99;17211695;52,113199;20,73236119;3,23;Computer Software;NACE Rev. 2;6202
100;141286010;52,1132117;21,0199257;-67,86;Public Administration, Education, Health Social Services;NACE Rev. 2;9499
101;147315209;52,1132638;21,019787;13,99;Transport, Freight & Storage;NACE Rev. 2;4941
102;142873229;52,11332535;21,01920905;30,54;Construction;NACE Rev. 2;4322
103;16001352;52,1134625;21,0193925;21,72;Property Services;NACE Rev. 2;6810
104;16424035;52,1134625;21,0193925;29,35;Construction;NACE Rev. 2;4339
105;15501584;52,11374075;21,00596784;-36,71;Construction;NACE Rev. 2;4120
106;141216200;52,11374075;21,00596784;-10,47;Construction;NACE Rev. 2;4120
107;141787640;52,1141303;21,0229814;2,17;Public Administration, Education, Health Social Services;NACE Rev. 2;9499
108;10308687;52,1142811;21,0109713;29,45;Construction;NACE Rev. 2;4211
109;145916005;52,1142847;21,0212404;9,09;Public Administration, Education, Health Social Services;NACE Rev. 2;8690
110;141909959;52,11461595;21,01618325;8,89;Business Services;NACE Rev. 2;7022
111;11091072;52,1146557;21,01362865;14,19;Printing & Publishing;NACE Rev. 2;5811
112;146201857;52,11524995;21,02170048;11,21;Wholesale;NACE Rev. 2;4623
113;101400916;52,1152513;21,02278295;33,76;Computer Software;NACE Rev. 2;6201
114;12753150;52,1152959;21,02426904;0,55;Property Services;NACE Rev. 2;6810
115;11348973;52,11541405;21,01709035;-11,55;Wholesale;NACE Rev. 2;4674
116;142009436;52,1158365;21,01444597;0,29;Construction;NACE Rev. 2;4221
117;140021284;52,11587545;21,1036711;20,95;Construction;NACE Rev. 2;4321
118;142048749;52,1160209;21,022336;-19,61;Public Administration, Education, Health Social Services;NACE Rev. 2;8510
119;140952440;52,1160209;21,022336;4,17;Public Administration, Education, Health Social Services;NACE Rev. 2;8559
120;11815268;52,11620425;21,02385585;13,92;Communications;NACE Rev. 2;6110
121;17451991;52,11635765;21,10850095;0,82;Public Administration, Education, Health Social Services;NACE Rev. 2;8610
122;141345971;52,1164911;21,00818346;-3,41;Wholesale;NACE Rev. 2;4675
123;362713277;52,1166608;21,02410845;-60,61;Business Services;NACE Rev. 2;4520
124;11533972;52,11710555;21,09623829;-57,58;Retail;NACE Rev. 2;4741
125;146465183;52,11711585;21,00798375;-9,55;Business Services;NACE Rev. 2;7311
126;146510831;52,11711585;21,00798375;69,11;Business Services;NACE Rev. 2;7311
127;13054371;52,117152;21,01979374;1,39;Chemicals, Petroleum, Rubber & Plastic;NACE Rev. 2;2016
128;140948124;52,1174078;20,99823909;-5,01;Construction;NACE Rev. 2;4321
129;221740705;52,11761005;21,01932191;-74,49;Retail;NACE Rev. 2;4540
130;146529500;52,11761005;21,01932191;-21,75;Retail;NACE Rev. 2;4540
131;10317203;52,11761005;21,01932191;0,18;Retail;NACE Rev. 2;4759
132;362628749;52,11761365;21,02140905;-42,72;Miscellaneous Manufacturing;NACE Rev. 2;3230
133;12018775;52,1176706;21,016666;-7,98;Wholesale;NACE Rev. 2;4690
134;147329246;52,11780235;21,02231425;7,6;Construction;NACE Rev. 2;4339
135;142066776;52,1181127;21,02398062;-20,27;Retail;NACE Rev. 2;4532
136;361494407;52,1181279;21,02137005;-1,84;Wholesale;NACE Rev. 2;4652
137;146934519;52,118131;21,022876;-56,43;Industrial, Electric & Electronic Machinery;NACE Rev. 2;2790
138;147149596;52,11813375;21,01987729;-46,98;Wholesale;NACE Rev. 2;4690
139;13161233;52,11813375;21,01987729;-2,42;Wholesale;NACE Rev. 2;4690
140;140707219;52,1182075;21,0182066;6,6;Printing & Publishing;NACE Rev. 2;1812
